Rank,Name,Team,Games,TGTS,REC,PCT,YDS,TD,LNG,YT,YR,RUSH_ATT,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_FUM,RUSH_LST,PPG,FPTS
132,Jalen Nailor,MIN,15,13,9,69.2,179,1,47,13.8,19.9,0,0,0,0,0,0,2.2,32.9
133,Dyami Brown,WAS,15,14,5,35.7,143,2,75,10.2,28.6,1,15,15,0,0,0,2.2,32.8
134,Steven Sims,PIT,12,23,14,60.9,104,0,28,4.5,7.4,13,70,5.4,0,3,0,2.6,31.4
135,River Cracraft,MIA,11,14,9,64.3,102,2,22,7.3,11.3,0,0,0,0,0,0,2.8,31.2
136,Keelan Cole Sr.,LV,14,21,10,47.6,141,1,30,6.7,14.1,0,0,0,0,1,0,2.2,30.1
137,Denzel Mims,NYJ,10,25,11,44,186,0,63,7.4,16.9,0,0,0,0,0,0,3,29.6
138,Jalen Reagor,MIN,17,13,8,61.5,104,1,38,8,13,4,25,6.2,0,4,0,1.6,26.9
139,Cedrick Wilson Jr.,MIA,15,18,12,66.7,136,0,21,7.6,11.3,1,8,8,0,0,0,1.8,26.4
140,KJ Hamler,DEN,7,14,7,50,165,0,55,11.8,23.6,2,23,11.5,0,0,0,3.7,25.8
141,N'Keal Harry,CHI,7,9,7,77.8,116,1,49,12.9,16.6,0,0,0,0,0,0,3.5,24.6
142,DeSean Jackson,BAL,7,17,9,52.9,153,0,62,9,17,0,0,0,0,0,0,3.5,24.3
143,Breshad Perriman,TB,11,19,9,47.4,110,1,28,5.8,12.2,2,-7,-3.5,0,2,1,2.1,23.3
144,Tom Kennedy,DET,7,15,8,53.3,141,0,44,9.4,17.6,0,0,0,0,0,0,3.2,22.1
145,David Sills V,NYG,9,17,11,64.7,106,0,24,6.2,9.6,0,0,0,0,0,0,2.4,21.6
146,Jeff Smith,NYJ,11,11,8,72.7,134,0,50,12.2,16.8,0,0,0,0,0,0,1.9,21.4
147,Kenny Golladay,NYG,12,17,6,35.3,81,1,25,4.8,13.5,0,0,0,0,0,0,1.7,20.1
148,Samori Toure,GB,11,10,5,50,82,1,37,8.2,16.4,0,0,0,0,1,0,1.7,19.2
149,T.Y. Hilton,DAL,3,10,7,70,121,0,52,12.1,17.3,0,0,0,0,0,0,6.4,19.1
150,Marcus Johnson,NYG,14,22,9,40.9,99,0,18,4.5,11,0,0,0,0,0,0,1.4,18.9
150,Michael Bandy,LAC,10,21,10,47.6,89,0,25,4.2,8.9,0,0,0,0,0,0,1.9,18.9
152,Anthony Schwartz,CLE,11,10,4,40,51,0,19,5.1,12.8,4,57,14.2,1,1,1,1.7,18.8
153,Cam Sims,WAS,17,18,8,44.4,89,0,21,4.9,11.1,0,0,0,0,0,0,1,16.9
